iter	Passed	Remaining
0	149	14762
1	149	7344
2	150	4864
3	151	3627
4	151	2885
5	152	2389
6	153	2035
7	153	1768
8	154	1561
9	155	1395
10	155	1259
11	156	1147
12	157	1050
13	157	969
14	158	898
15	159	835
16	159	780
17	160	732
18	161	688
19	162	648
20	162	612
21	163	579
22	164	550
23	165	522
24	165	497
25	166	473
26	167	452
27	167	431
28	168	412
29	169	395
30	170	378
31	171	363
32	171	348
33	172	334
34	173	321
35	174	309
36	174	297
37	175	286
38	176	276
39	177	265
40	177	256
41	178	246
42	179	237
43	180	229
44	180	221
45	181	213
46	182	205
47	182	197
48	183	190
49	183	183
50	184	177
51	185	170
52	185	164
53	186	158
54	187	153
55	188	147
56	189	142
57	189	137
58	190	132
59	191	127
60	191	122
61	192	117
62	193	113
63	193	109
64	194	104
65	195	100
66	195	96
67	196	92
68	196	88
69	197	84
70	198	80
71	198	77
72	199	73
73	201	70
74	202	67
75	203	64
76	203	60
77	204	57
78	205	54
79	205	51
80	206	48
81	207	45
82	207	42
83	208	39
84	209	36
85	210	34
86	210	31
87	211	28
88	211	26
89	212	23
90	213	21
91	214	18
92	215	16
93	216	13
94	216	11
95	217	9
96	218	6
97	219	4
98	219	2
99	221	0
