ID_passenger,Age,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Survived_num,Passenger Class_num,Sex_num,Port of Embarkation_num,Age_Category_num,Fare_Category_num,Deck_num
1,29.0,0,0,211.3375,1,0,0,2,8,2,1
2,0.9167,1,2,151.55,1,0,1,2,2,2,2
3,2.0,1,2,151.55,0,0,0,2,7,2,2
4,30.0,1,2,151.55,0,0,1,2,8,2,2
5,25.0,1,2,151.55,0,0,0,2,8,2,2
6,48.0,0,0,26.55,1,0,1,2,0,4,4
7,63.0,1,0,77.9583,1,0,0,2,3,2,3
8,39.0,0,0,0.0,0,0,1,2,0,1,0
9,53.0,2,0,51.4792,1,0,0,2,3,2,2
10,71.0,0,0,49.5042,0,0,1,0,5,2,8
11,47.0,1,0,227.525,0,0,1,0,0,2,2
12,18.0,1,0,227.525,1,0,0,0,6,2,2
13,24.0,0,0,69.3,1,0,0,0,8,2,1
14,26.0,0,0,78.85,1,0,0,2,8,2,8
15,80.0,0,0,30.0,1,0,1,2,5,4,0
16,,0,0,25.925,0,0,1,2,4,4,8
17,24.0,0,1,247.5208,0,0,1,0,8,2,1
18,50.0,0,1,247.5208,1,0,0,0,0,2,1
19,32.0,0,0,76.2917,1,0,0,0,0,2,3
20,36.0,0,0,75.2417,0,0,1,0,0,2,2
21,37.0,1,1,52.5542,1,0,1,2,0,2,3
22,47.0,1,1,52.5542,1,0,0,2,0,2,3
23,26.0,0,0,30.0,1,0,1,0,8,4,2
24,42.0,0,0,227.525,1,0,0,0,0,2,8
25,29.0,0,0,221.7792,1,0,0,2,8,2,2
26,25.0,0,0,26.0,0,0,1,0,8,4,8
27,25.0,1,0,91.0792,1,0,1,0,8,2,1
28,19.0,1,0,91.0792,1,0,0,0,8,2,1
29,35.0,0,0,135.6333,1,0,0,2,0,2,2
30,28.0,0,0,26.55,1,0,1,2,8,4,2
31,45.0,0,0,35.5,0,0,1,2,0,4,7
32,40.0,0,0,31.0,1,0,1,0,0,4,0
33,30.0,0,0,164.8667,1,0,0,2,8,2,2
34,58.0,0,0,26.55,1,0,0,2,3,4,2
35,42.0,0,0,26.55,0,0,1,2,0,4,3
36,45.0,0,0,262.375,1,0,0,0,0,2,8
37,22.0,0,1,55.0,1,0,0,2,8,2,4
38,,0,0,26.55,1,0,1,2,4,4,8
39,41.0,0,0,30.5,0,0,1,2,0,4,0
40,48.0,0,0,50.4958,0,0,1,0,0,2,1
41,,0,0,39.6,0,0,1,0,4,4,8
42,44.0,0,0,27.7208,1,0,0,0,0,4,1
43,59.0,2,0,51.4792,1,0,0,2,3,2,2
44,60.0,0,0,76.2917,1,0,0,0,3,2,3
45,41.0,0,0,134.5,1,0,0,0,0,2,4
46,45.0,0,0,26.55,0,0,1,2,0,4,1
47,,0,0,31.0,0,0,1,2,4,4,8
48,42.0,0,0,26.2875,1,0,1,2,0,4,4
49,53.0,0,0,27.4458,1,0,0,0,3,4,8
50,36.0,0,1,512.3292,1,0,1,0,0,2,1
51,58.0,0,1,512.3292,1,0,0,0,3,2,1
52,33.0,0,0,5.0,0,0,1,2,0,1,1
53,28.0,0,0,47.1,0,0,1,2,8,2,8
54,17.0,0,0,47.1,0,0,1,2,6,2,8
55,11.0,1,2,120.0,1,0,1,2,1,2,1
56,14.0,1,2,120.0,1,0,0,2,6,2,1
57,36.0,1,2,120.0,1,0,1,2,0,2,1
58,36.0,1,2,120.0,1,0,0,2,0,2,1
59,49.0,0,0,26.0,0,0,1,2,0,4,8
60,,0,0,27.7208,1,0,0,0,4,4,8
61,36.0,1,0,78.85,0,0,1,2,0,2,2
62,76.0,1,0,78.85,1,0,0,2,5,2,2
63,46.0,1,0,61.175,0,0,1,2,0,2,4
64,47.0,1,0,61.175,1,0,0,2,0,2,4
65,27.0,1,0,53.1,1,0,1,2,8,2,4
66,33.0,1,0,53.1,1,0,0,2,0,2,4
67,36.0,0,0,262.375,1,0,0,0,0,2,1
68,30.0,0,0,86.5,1,0,0,2,8,2,1
69,45.0,0,0,29.7,1,0,1,0,0,4,0
70,,0,1,55.0,1,0,0,2,4,2,4
71,,0,0,0.0,0,0,1,2,4,1,8
72,27.0,1,0,136.7792,0,0,1,0,8,2,2
73,26.0,1,0,136.7792,1,0,0,0,8,2,2
74,22.0,0,0,151.55,1,0,0,2,8,2,8
75,,0,0,52.0,0,0,1,2,4,2,0
76,47.0,0,0,25.5875,0,0,1,2,0,4,4
77,39.0,1,1,83.1583,1,0,0,0,0,2,4
78,37.0,1,1,83.1583,0,0,1,0,0,2,4
79,64.0,0,2,83.1583,1,0,0,0,3,2,4
80,55.0,2,0,25.7,1,0,0,2,3,4,2
81,,0,0,26.55,0,0,1,2,4,4,8
82,70.0,1,1,71.0,0,0,1,2,5,2,1
83,36.0,0,2,71.0,1,0,0,2,0,2,1
84,64.0,1,1,26.55,1,0,0,2,3,4,1
85,39.0,1,0,71.2833,0,0,1,0,0,2,2
86,38.0,1,0,71.2833,1,0,0,0,0,2,2
87,51.0,0,0,26.55,1,0,1,2,3,4,4
88,27.0,0,0,30.5,1,0,1,2,8,4,8
89,33.0,0,0,151.55,1,0,0,2,0,2,8
90,31.0,1,0,52.0,0,0,1,2,0,2,1
91,27.0,1,2,52.0,1,0,0,2,8,2,1
92,31.0,1,0,57.0,1,0,1,2,0,2,1
93,17.0,1,0,57.0,1,0,0,2,6,2,1
94,53.0,1,1,81.8583,1,0,1,2,3,2,0
95,4.0,0,2,81.8583,1,0,1,2,7,2,0
96,54.0,1,1,81.8583,1,0,0,2,3,2,0
97,50.0,1,0,106.425,0,0,1,0,0,2,2
98,27.0,1,1,247.5208,1,0,0,0,8,2,1
99,48.0,1,0,106.425,1,0,0,0,0,2,2
100,48.0,1,0,39.6,1,0,0,0,0,4,0
101,49.0,1,0,56.9292,1,0,1,0,0,2,0
102,39.0,0,0,29.7,0,0,1,0,0,4,0
103,23.0,0,1,83.1583,1,0,0,0,8,2,2
104,38.0,0,0,227.525,1,0,0,0,0,2,2
105,54.0,1,0,78.2667,1,0,0,0,3,2,3
106,36.0,0,0,31.6792,0,0,0,0,0,4,0
107,,0,0,221.7792,0,0,1,2,4,2,2
108,,0,0,31.6833,1,0,0,2,4,4,8
109,,0,0,110.8833,1,0,0,0,4,2,8
110,36.0,0,0,26.3875,1,0,1,2,0,4,4
111,30.0,0,0,27.75,0,0,1,0,8,4,2
112,24.0,3,2,263.0,1,0,0,2,8,2,2
113,28.0,3,2,263.0,1,0,0,2,8,2,2
