row_id,Category,Order Date,Segment,Sales Target
0,Office Supplies,2017-01-04,Consumer,15
1,Office Supplies,2017-01-05,Home Office,300
2,Office Supplies,2017-01-06,Consumer,21
3,Furniture,2017-01-07,Home Office,2316
4,Technology,2017-01-07,Home Office,1068
5,Office Supplies,2017-01-07,Home Office,699
6,Office Supplies,2017-01-07,Consumer,17
7,Office Supplies,2017-01-07,Corporate,14
8,Furniture,2017-01-08,Consumer,81
9,Office Supplies,2017-01-08,Consumer,11
10,Technology,2017-01-10,Consumer,29
11,Office Supplies,2017-01-10,Consumer,9
12,Furniture,2017-01-11,Corporate,47
13,Office Supplies,2017-01-11,Corporate,3
14,Furniture,2017-01-12,Consumer,9
15,Office Supplies,2017-01-14,Consumer,1387
16,Furniture,2017-01-14,Consumer,792
17,Technology,2017-01-14,Corporate,595
18,Office Supplies,2017-01-14,Corporate,570
19,Furniture,2017-01-15,Corporate,66
20,Technology,2017-01-16,Consumer,144
21,Technology,2017-01-17,Consumer,112
22,Furniture,2017-01-17,Consumer,109
23,Office Supplies,2017-01-17,Consumer,49
24,Office Supplies,2017-01-19,Corporate,66
25,Office Supplies,2017-01-20,Consumer,183
26,Furniture,2017-01-20,Consumer,158
27,Furniture,2017-01-21,Consumer,1244
28,Technology,2017-01-21,Consumer,749
29,Office Supplies,2017-01-21,Consumer,538
30,Office Supplies,2017-01-21,Corporate,67
31,Furniture,2017-01-22,Consumer,25
32,Office Supplies,2017-01-24,Consumer,40
33,Office Supplies,2017-01-27,Home Office,531
34,Technology,2017-01-27,Home Office,343
35,Furniture,2017-01-27,Corporate,124
36,Furniture,2017-01-27,Home Office,65
37,Office Supplies,2017-01-27,Corporate,10
38,Furniture,2017-01-28,Consumer,360
39,Office Supplies,2017-01-28,Consumer,86
40,Office Supplies,2017-01-29,Consumer,3
41,Office Supplies,2017-01-31,Consumer,262
42,Furniture,2017-02-01,Consumer,308
43,Technology,2017-02-02,Consumer,506
44,Technology,2017-02-03,Consumer,176
45,Office Supplies,2017-02-03,Consumer,19
46,Office Supplies,2017-02-03,Home Office,11
47,Office Supplies,2017-02-04,Consumer,106
48,Office Supplies,2017-02-05,Home Office,122
49,Office Supplies,2017-02-05,Corporate,15
50,Technology,2017-02-07,Corporate,261
51,Office Supplies,2017-02-07,Corporate,13
52,Office Supplies,2017-02-07,Consumer,10
53,Technology,2017-02-08,Corporate,108
54,Office Supplies,2017-02-08,Corporate,71
55,Furniture,2017-02-09,Home Office,13
56,Furniture,2017-02-12,Consumer,1535
57,Technology,2017-02-12,Consumer,241
58,Office Supplies,2017-02-12,Consumer,143
59,Furniture,2017-02-13,Consumer,113
60,Office Supplies,2017-02-15,Corporate,353
61,Technology,2017-02-15,Corporate,259
62,Office Supplies,2017-02-15,Consumer,16
63,Office Supplies,2017-02-16,Corporate,18
64,Office Supplies,2017-02-17,Consumer,9
65,Office Supplies,2017-02-18,Consumer,50
66,Furniture,2017-02-19,Consumer,22
67,Office Supplies,2017-02-19,Consumer,12
68,Technology,2017-02-21,Corporate,69
69,Furniture,2017-02-21,Corporate,19
70,Office Supplies,2017-02-21,Home Office,12
71,Office Supplies,2017-02-22,Consumer,9
72,Office Supplies,2017-02-23,Consumer,19
73,Office Supplies,2017-02-24,Home Office,13
74,Office Supplies,2017-02-25,Consumer,60
75,Office Supplies,2017-02-28,Consumer,21
76,Furniture,2017-03-01,Consumer,1247
77,Furniture,2017-03-01,Home Office,545
78,Office Supplies,2017-03-01,Consumer,260
79,Office Supplies,2017-03-01,Home Office,19
80,Technology,2017-03-01,Home Office,5
81,Technology,2017-03-02,Corporate,138
82,Office Supplies,2017-03-02,Home Office,43
83,Office Supplies,2017-03-02,Corporate,3
84,Furniture,2017-03-03,Consumer,557
85,Furniture,2017-03-03,Corporate,287
86,Office Supplies,2017-03-03,Consumer,200
87,Office Supplies,2017-03-03,Home Office,142
88,Office Supplies,2017-03-03,Corporate,54
89,Technology,2017-03-03,Home Office,9
90,Office Supplies,2017-03-04,Consumer,315
91,Technology,2017-03-05,Consumer,446
92,Office Supplies,2017-03-05,Consumer,217
93,Furniture,2017-03-07,Corporate,983
94,Office Supplies,2017-03-07,Consumer,227
95,Office Supplies,2017-03-07,Corporate,208
96,Office Supplies,2017-03-07,Home Office,115
97,Furniture,2017-03-07,Consumer,49
98,Office Supplies,2017-03-10,Consumer,749
99,Technology,2017-03-11,Corporate,646
100,Office Supplies,2017-03-11,Corporate,178
101,Office Supplies,2017-03-11,Consumer,124
102,Furniture,2017-03-11,Consumer,8
103,Furniture,2017-03-14,Home Office,1220
104,Technology,2017-03-14,Home Office,523
105,Office Supplies,2017-03-14,Consumer,217
106,Office Supplies,2017-03-14,Home Office,99
107,Technology,2017-03-14,Consumer,77
108,Office Supplies,2017-03-14,Corporate,12
109,Office Supplies,2017-03-15,Consumer,302
110,Furniture,2017-03-15,Consumer,43
111,Technology,2017-03-16,Home Office,514
112,Furniture,2017-03-17,Corporate,3396
113,Office Supplies,2017-03-17,Corporate,361
114,Office Supplies,2017-03-17,Consumer,250
115,Technology,2017-03-18,Home Office,25729
116,Office Supplies,2017-03-18,Home Office,1771
117,Furniture,2017-03-18,Home Office,1536
118,Technology,2017-03-19,Corporate,445
119,Office Supplies,2017-03-19,Corporate,66
120,Furniture,2017-03-19,Corporate,22
121,Technology,2017-03-21,Corporate,3080
122,Office Supplies,2017-03-21,Corporate,312
123,Furniture,2017-03-21,Consumer,216
124,Office Supplies,2017-03-21,Consumer,79
125,Furniture,2017-03-22,Corporate,314
126,Office Supplies,2017-03-22,Consumer,79
127,Office Supplies,2017-03-22,Corporate,77
128,Technology,2017-03-23,Consumer,623
129,Office Supplies,2017-03-23,Consumer,330
130,Furniture,2017-03-24,Consumer,37
131,Office Supplies,2017-03-24,Consumer,23
132,Furniture,2017-03-25,Consumer,341
133,Technology,2017-03-25,Consumer,46
134,Office Supplies,2017-03-25,Consumer,42
135,Technology,2017-03-26,Corporate,84
136,Office Supplies,2017-03-26,Corporate,33
137,Office Supplies,2017-03-26,Consumer,16
138,Furniture,2017-03-28,Consumer,1102
139,Furniture,2017-03-28,Home Office,327
140,Technology,2017-03-28,Home Office,314
141,Office Supplies,2017-03-28,Consumer,7
142,Furniture,2017-03-29,Consumer,918
143,Office Supplies,2017-03-30,Home Office,342
144,Technology,2017-03-30,Home Office,219
145,Furniture,2017-03-30,Consumer,212
146,Office Supplies,2017-03-30,Consumer,184
147,Furniture,2017-03-30,Home Office,113
148,Office Supplies,2017-03-30,Corporate,65
149,Furniture,2017-03-31,Consumer,1193
150,Office Supplies,2017-03-31,Consumer,827
151,Technology,2017-03-31,Consumer,78
152,Office Supplies,2017-03-31,Corporate,2
153,Office Supplies,2017-04-01,Corporate,63
154,Office Supplies,2017-04-01,Consumer,46
155,Technology,2017-04-02,Consumer,892
156,Office Supplies,2017-04-02,Consumer,242
157,Furniture,2017-04-02,Corporate,181
158,Technology,2017-04-03,Corporate,238
159,Office Supplies,2017-04-03,Corporate,12
160,Office Supplies,2017-04-04,Corporate,278
161,Technology,2017-04-04,Corporate,96
162,Office Supplies,2017-04-04,Consumer,87
163,Office Supplies,2017-04-04,Home Office,17
164,Furniture,2017-04-04,Consumer,5
165,Office Supplies,2017-04-05,Corporate,4795
166,Office Supplies,2017-04-05,Consumer,832
167,Office Supplies,2017-04-05,Home Office,54
168,Technology,2017-04-05,Corporate,32
169,Furniture,2017-04-06,Corporate,763
170,Technology,2017-04-06,Corporate,307
171,Office Supplies,2017-04-06,Corporate,241
172,Furniture,2017-04-06,Home Office,158
173,Technology,2017-04-06,Home Office,109
174,Office Supplies,2017-04-06,Home Office,10
175,Technology,2017-04-07,Corporate,535
176,Technology,2017-04-07,Home Office,199
177,Office Supplies,2017-04-07,Corporate,119
178,Office Supplies,2017-04-07,Home Office,52
179,Furniture,2017-04-07,Consumer,9
180,Furniture,2017-04-08,Corporate,1167
181,Technology,2017-04-08,Home Office,340
182,Furniture,2017-04-08,Consumer,162
183,Furniture,2017-04-08,Home Office,109
184,Office Supplies,2017-04-08,Home Office,44
185,Office Supplies,2017-04-08,Corporate,19
186,Technology,2017-04-11,Consumer,928
187,Technology,2017-04-11,Home Office,720
188,Office Supplies,2017-04-11,Consumer,109
189,Technology,2017-04-12,Corporate,1438
190,Furniture,2017-04-12,Corporate,312
191,Office Supplies,2017-04-12,Corporate,58
192,Office Supplies,2017-04-12,Consumer,34
193,Office Supplies,2017-04-13,Corporate,548
194,Technology,2017-04-13,Corporate,76
195,Office Supplies,2017-04-13,Home Office,8
196,Furniture,2017-04-15,Home Office,163
197,Office Supplies,2017-04-15,Home Office,92
198,Office Supplies,2017-04-16,Corporate,39
199,Technology,2017-04-18,Consumer,444
200,Furniture,2017-04-18,Consumer,304
201,Office Supplies,2017-04-18,Consumer,167
202,Office Supplies,2017-04-19,Consumer,141
203,Furniture,2017-04-19,Home Office,76
204,Furniture,2017-04-20,Consumer,1326
205,Office Supplies,2017-04-20,Consumer,38
206,Office Supplies,2017-04-21,Corporate,829
207,Office Supplies,2017-04-21,Consumer,16
208,Office Supplies,2017-04-22,Corporate,258
209,Furniture,2017-04-23,Home Office,614
210,Office Supplies,2017-04-23,Home Office,51
211,Office Supplies,2017-04-23,Corporate,2
212,Furniture,2017-04-25,Home Office,1772
213,Office Supplies,2017-04-25,Home Office,313
214,Technology,2017-04-25,Consumer,287
215,Furniture,2017-04-26,Corporate,216
216,Office Supplies,2017-04-26,Home Office,35
217,Office Supplies,2017-04-26,Corporate,17
218,Technology,2017-04-28,Consumer,1630
219,Office Supplies,2017-04-28,Corporate,731
220,Technology,2017-04-28,Corporate,160
221,Furniture,2017-04-29,Corporate,578
222,Office Supplies,2017-04-29,Corporate,105
223,Furniture,2017-04-29,Consumer,63
224,Technology,2017-04-29,Consumer,20
225,Office Supplies,2017-04-29,Consumer,16
226,Office Supplies,2017-04-30,Consumer,1031
227,Technology,2017-04-30,Consumer,51
228,Technology,2017-05-02,Consumer,422
229,Office Supplies,2017-05-02,Consumer,25
230,Office Supplies,2017-05-03,Consumer,47
231,Office Supplies,2017-05-03,Home Office,24
232,Office Supplies,2017-05-04,Consumer,90
233,Office Supplies,2017-05-04,Corporate,62
234,Furniture,2017-05-04,Consumer,25
235,Furniture,2017-05-04,Corporate,10
236,Furniture,2017-05-05,Consumer,124
237,Office Supplies,2017-05-05,Corporate,81
238,Office Supplies,2017-05-05,Consumer,38
239,Office Supplies,2017-05-06,Home Office,267
240,Furniture,2017-05-07,Consumer,960
241,Office Supplies,2017-05-07,Consumer,23
242,Technology,2017-05-08,Consumer,1620
243,Technology,2017-05-09,Consumer,229
244,Office Supplies,2017-05-09,Corporate,148
245,Technology,2017-05-10,Consumer,1417
246,Furniture,2017-05-10,Consumer,522
247,Office Supplies,2017-05-10,Consumer,222
248,Furniture,2017-05-11,Corporate,1031
249,Technology,2017-05-11,Consumer,195
250,Office Supplies,2017-05-11,Home Office,124
251,Furniture,2017-05-11,Consumer,61
252,Office Supplies,2017-05-11,Corporate,33
253,Furniture,2017-05-12,Consumer,639
254,Office Supplies,2017-05-13,Home Office,418
255,Furniture,2017-05-13,Corporate,296
256,Technology,2017-05-13,Consumer,151
257,Office Supplies,2017-05-13,Consumer,60
258,Office Supplies,2017-05-13,Corporate,8
259,Furniture,2017-05-14,Corporate,342
260,Furniture,2017-05-16,Corporate,205
261,Technology,2017-05-16,Consumer,50
262,Office Supplies,2017-05-17,Home Office,85
263,Technology,2017-05-18,Consumer,725
264,Furniture,2017-05-18,Consumer,127
265,Office Supplies,2017-05-18,Consumer,17
266,Office Supplies,2017-05-19,Consumer,82
267,Furniture,2017-05-20,Corporate,131
268,Office Supplies,2017-05-20,Corporate,128
269,Technology,2017-05-20,Corporate,21
270,Office Supplies,2017-05-21,Corporate,2634
271,Office Supplies,2017-05-21,Home Office,788
272,Technology,2017-05-21,Corporate,624
273,Furniture,2017-05-21,Consumer,94
274,Office Supplies,2017-05-21,Consumer,78
275,Technology,2017-05-22,Consumer,168
276,Office Supplies,2017-05-23,Consumer,295
277,Technology,2017-05-23,Consumer,50
278,Office Supplies,2017-05-24,Consumer,108
279,Office Supplies,2017-05-25,Consumer,88
280,Furniture,2017-05-25,Consumer,28
281,Furniture,2017-05-26,Consumer,562
282,Furniture,2017-05-26,Corporate,317
283,Technology,2017-05-26,Corporate,303
284,Office Supplies,2017-05-26,Consumer,116
285,Office Supplies,2017-05-26,Home Office,44
286,Technology,2017-05-27,Consumer,1298
287,Furniture,2017-05-27,Corporate,510
288,Office Supplies,2017-05-27,Corporate,356
289,Office Supplies,2017-05-27,Consumer,15
290,Office Supplies,2017-05-28,Consumer,138
291,Technology,2017-05-28,Corporate,88
292,Technology,2017-05-30,Corporate,1160
293,Furniture,2017-05-30,Consumer,313
294,Office Supplies,2017-05-30,Corporate,309
295,Office Supplies,2017-05-30,Consumer,77
296,Technology,2017-05-31,Consumer,781
297,Furniture,2017-06-01,Home Office,2142
298,Office Supplies,2017-06-01,Home Office,1808
299,Technology,2017-06-01,Consumer,891
300,Office Supplies,2017-06-01,Corporate,194
301,Furniture,2017-06-01,Consumer,20
302,Office Supplies,2017-06-02,Consumer,347
303,Technology,2017-06-02,Consumer,218
304,Furniture,2017-06-02,Home Office,62
305,Office Supplies,2017-06-02,Home Office,62
306,Furniture,2017-06-03,Consumer,497
307,Office Supplies,2017-06-03,Consumer,156
308,Office Supplies,2017-06-03,Home Office,15
309,Furniture,2017-06-04,Consumer,458
310,Office Supplies,2017-06-04,Home Office,17
311,Office Supplies,2017-06-04,Consumer,17
312,Furniture,2017-06-06,Corporate,1091
313,Office Supplies,2017-06-06,Corporate,162
314,Office Supplies,2017-06-06,Consumer,127
315,Office Supplies,2017-06-06,Home Office,99
316,Furniture,2017-06-07,Consumer,237
317,Office Supplies,2017-06-07,Corporate,13
318,Office Supplies,2017-06-08,Consumer,1745
319,Furniture,2017-06-08,Consumer,615
320,Furniture,2017-06-08,Corporate,158
321,Furniture,2017-06-09,Consumer,2909
322,Technology,2017-06-09,Consumer,1891
323,Office Supplies,2017-06-09,Consumer,168
324,Office Supplies,2017-06-09,Corporate,91
325,Office Supplies,2017-06-09,Home Office,76
326,Technology,2017-06-09,Home Office,71
327,Furniture,2017-06-09,Corporate,38
328,Office Supplies,2017-06-10,Corporate,482
329,Office Supplies,2017-06-13,Corporate,14
330,Furniture,2017-06-14,Home Office,209
331,Furniture,2017-06-15,Corporate,961
332,Office Supplies,2017-06-15,Consumer,39
333,Office Supplies,2017-06-15,Corporate,8
334,Furniture,2017-06-16,Consumer,693
335,Office Supplies,2017-06-16,Consumer,102
336,Office Supplies,2017-06-17,Consumer,3313
337,Technology,2017-06-17,Consumer,63
338,Furniture,2017-06-17,Consumer,7
339,Technology,2017-06-18,Consumer,133
340,Office Supplies,2017-06-20,Consumer,1005
341,Technology,2017-06-20,Consumer,565
342,Furniture,2017-06-20,Consumer,183
343,Technology,2017-06-21,Consumer,4043
344,Office Supplies,2017-06-21,Consumer,271
345,Furniture,2017-06-21,Consumer,117
346,Furniture,2017-06-22,Consumer,1004
347,Office Supplies,2017-06-22,Consumer,699
348,Technology,2017-06-22,Consumer,294
349,Technology,2017-06-23,Consumer,75
350,Office Supplies,2017-06-23,Consumer,22
351,Furniture,2017-06-24,Consumer,4
352,Furniture,2017-06-25,Corporate,470
353,Technology,2017-06-25,Corporate,248
354,Office Supplies,2017-06-25,Corporate,74
355,Office Supplies,2017-06-27,Consumer,318
356,Technology,2017-06-27,Consumer,224
357,Furniture,2017-06-27,Consumer,86
358,Furniture,2017-06-28,Consumer,1081
359,Office Supplies,2017-06-28,Consumer,395
360,Office Supplies,2017-06-28,Corporate,6
361,Office Supplies,2017-06-29,Consumer,41
362,Office Supplies,2017-06-30,Consumer,713
363,Office Supplies,2017-06-30,Corporate,80
364,Technology,2017-07-01,Corporate,593
365,Office Supplies,2017-07-01,Corporate,23
366,Technology,2017-07-02,Consumer,78
367,Office Supplies,2017-07-02,Consumer,5
368,Office Supplies,2017-07-04,Corporate,178
369,Office Supplies,2017-07-04,Consumer,34
370,Office Supplies,2017-07-05,Consumer,579
371,Technology,2017-07-05,Consumer,475
372,Furniture,2017-07-05,Corporate,254
373,Office Supplies,2017-07-05,Home Office,192
374,Office Supplies,2017-07-05,Corporate,15
375,Technology,2017-07-06,Consumer,498
376,Furniture,2017-07-06,Home Office,464
377,Furniture,2017-07-07,Consumer,205
378,Furniture,2017-07-08,Corporate,523
379,Office Supplies,2017-07-08,Corporate,181
380,Furniture,2017-07-08,Consumer,56
381,Furniture,2017-07-09,Home Office,127
382,Office Supplies,2017-07-09,Home Office,103
383,Office Supplies,2017-07-09,Corporate,23
384,Furniture,2017-07-11,Corporate,901
385,Technology,2017-07-11,Consumer,652
386,Technology,2017-07-11,Corporate,184
387,Office Supplies,2017-07-11,Corporate,182
388,Office Supplies,2017-07-11,Consumer,82
389,Furniture,2017-07-12,Corporate,768
390,Furniture,2017-07-12,Home Office,543
391,Office Supplies,2017-07-12,Home Office,321
392,Technology,2017-07-12,Home Office,258
393,Furniture,2017-07-12,Consumer,121
394,Office Supplies,2017-07-12,Consumer,48
395,Technology,2017-07-12,Consumer,21
396,Office Supplies,2017-07-12,Corporate,7
397,Furniture,2017-07-13,Corporate,309
398,Office Supplies,2017-07-14,Consumer,90
399,Office Supplies,2017-07-14,Home Office,65
400,Technology,2017-07-14,Home Office,41
401,Technology,2017-07-14,Consumer,37
402,Furniture,2017-07-14,Consumer,30
403,Office Supplies,2017-07-14,Corporate,17
404,Office Supplies,2017-07-15,Corporate,6
405,Technology,2017-07-15,Corporate,3
406,Furniture,2017-07-18,Home Office,280
407,Office Supplies,2017-07-18,Consumer,15
408,Technology,2017-07-19,Corporate,335
409,Furniture,2017-07-19,Corporate,77
410,Office Supplies,2017-07-19,Corporate,26
411,Office Supplies,2017-07-19,Home Office,7
412,Furniture,2017-07-20,Home Office,858
413,Office Supplies,2017-07-20,Corporate,482
414,Office Supplies,2017-07-20,Home Office,298
415,Office Supplies,2017-07-20,Consumer,260
416,Furniture,2017-07-20,Consumer,43
417,Technology,2017-07-20,Corporate,41
418,Furniture,2017-07-21,Corporate,1819
419,Office Supplies,2017-07-21,Corporate,164
420,Technology,2017-07-21,Consumer,37
421,Furniture,2017-07-22,Consumer,773
422,Office Supplies,2017-07-22,Consumer,306
423,Technology,2017-07-22,Consumer,171
424,Office Supplies,2017-07-22,Home Office,20
425,Technology,2017-07-23,Consumer,1507
426,Technology,2017-07-23,Corporate,914
427,Office Supplies,2017-07-23,Corporate,45
428,Office Supplies,2017-07-23,Consumer,18
429,Office Supplies,2017-07-25,Consumer,8736
430,Furniture,2017-07-25,Consumer,69
431,Office Supplies,2017-07-25,Home Office,22
432,Office Supplies,2017-07-26,Consumer,2145
433,Technology,2017-07-26,Consumer,1454
434,Furniture,2017-07-26,Consumer,800
435,Technology,2017-07-26,Corporate,109
436,Office Supplies,2017-07-27,Corporate,315
437,Technology,2017-07-27,Consumer,205
438,Furniture,2017-07-28,Consumer,129
439,Office Supplies,2017-07-28,Consumer,69
440,Furniture,2017-07-30,Corporate,1190
441,Office Supplies,2017-08-01,Corporate,152
442,Furniture,2017-08-01,Corporate,48
443,Office Supplies,2017-08-01,Consumer,20
444,Office Supplies,2017-08-01,Home Office,5
445,Office Supplies,2017-08-02,Home Office,779
446,Technology,2017-08-02,Home Office,18
447,Furniture,2017-08-03,Consumer,203
448,Office Supplies,2017-08-03,Consumer,181
449,Office Supplies,2017-08-03,Home Office,84
450,Office Supplies,2017-08-04,Consumer,1553
451,Technology,2017-08-04,Consumer,404
452,Office Supplies,2017-08-04,Corporate,376
453,Technology,2017-08-04,Corporate,263
454,Furniture,2017-08-05,Corporate,1179
455,Furniture,2017-08-05,Consumer,705
456,Office Supplies,2017-08-05,Consumer,178
457,Technology,2017-08-05,Corporate,143
458,Office Supplies,2017-08-05,Corporate,101
459,Technology,2017-08-05,Consumer,14
460,Technology,2017-08-06,Consumer,273
461,Technology,2017-08-08,Consumer,1637
462,Technology,2017-08-08,Home Office,909
463,Furniture,2017-08-08,Consumer,520
464,Office Supplies,2017-08-08,Consumer,454
465,Office Supplies,2017-08-08,Home Office,208
466,Furniture,2017-08-08,Home Office,48
467,Office Supplies,2017-08-09,Consumer,2018
468,Technology,2017-08-09,Home Office,1376
469,Technology,2017-08-09,Corporate,164
470,Office Supplies,2017-08-09,Home Office,22
471,Office Supplies,2017-08-09,Corporate,17
472,Office Supplies,2017-08-11,Consumer,461
473,Furniture,2017-08-11,Consumer,12
474,Technology,2017-08-12,Consumer,1154
475,Office Supplies,2017-08-12,Home Office,269
476,Office Supplies,2017-08-12,Corporate,198
477,Technology,2017-08-12,Home Office,173
478,Furniture,2017-08-12,Consumer,80
479,Office Supplies,2017-08-12,Consumer,13
480,Office Supplies,2017-08-15,Consumer,661
481,Furniture,2017-08-15,Consumer,193
482,Furniture,2017-08-16,Consumer,725
483,Technology,2017-08-17,Corporate,340
484,Office Supplies,2017-08-17,Corporate,167
485,Furniture,2017-08-19,Consumer,600
486,Office Supplies,2017-08-19,Corporate,410
487,Furniture,2017-08-19,Corporate,318
488,Office Supplies,2017-08-19,Consumer,103
489,Office Supplies,2017-08-20,Corporate,835
490,Furniture,2017-08-20,Corporate,440
491,Furniture,2017-08-20,Consumer,379
492,Office Supplies,2017-08-22,Consumer,20
493,Office Supplies,2017-08-22,Home Office,4
